code,lon,lat,name,city
KJFK,-73.778925,40.63975,Kennedy Intl,New York
KLGA,-73.872608,40.777244,La Guardia,New York
KFRG,-73.413409,40.728781,Republic,Farmingdale
KWRI,-74.591708,40.015583,McGuire AFB,Wrightstown
KVAY,-74.845719,39.942892,South Jersey Regl,Mt Holly
KMJX,-74.292381,39.927497,Miller,Toms River
KACY,-74.577167,39.457584,Atlantic City Intl,Atlantic City
KWWD,-74.908275,39.008508,Cape May Co,Wildwood
MBPV,-72.265886,21.773625,Providenciales Intl,Providenciales I.
MTPP,-72.295555,18.579167,Toussaint Louverture Airport,Port-Au-Prince
SKRH,-72.927139,11.523555,Almirante Padilla,Riohacha
SKSM,-74.230803,11.119717,Simon Bolivar,Santa Marta
SKBQ,-74.780678,10.889461,Ernesto Cortissoz,Barranquilla
SKVP,-73.24943,10.435072,Alfonso Lopez,Valledupar
SVVG,-71.659846,8.639207,Juan Pablo Perez Alfonzo,El Vigia
SVSZ,-71.949846,9.033374,Santa Barbara Del Zulia,Santa Barbara Del Zulia
SKBG,-73.184889,7.126808,Palonegro,Bucaramanga
SVLF,-72.281513,8.250041,La Fria,La Fria
SKCC,-72.514055,7.9314,Camilo Daza Intl,Cucuta
SVPM,-72.201513,7.805041,Paramillo,San Cristobal
SVSA,-72.449846,7.866707,San Antonio Del Tachira,San Antonio Del Tachira
SVSO,-72.035013,7.565207,Mayor Buenaventura Vivas Intl,Santo Domingo
SKEJ,-73.806811,7.024442,Yariguies,Barrancabermeja
SKBO,-74.138425,4.703103,Eldorado Intl,Bogota
SKVV,-73.613414,4.167964,Vanguardia,Villavicencio
SPQT,-73.308806,-3.784739,Col Francisco Secada Vignetta,Iquitos
SPCL,-74.5743,-8.377942,Cap Fap David Abenzur Rengifo,Pucallpa
SBCZ,-72.769445,-7.599444,Cruzeiro Do Sul-Intl,Cruzeiro Do Sul
SPAY,-73.75,-10.733333,Atalaya,Atalaya
SPHO,-74.201667,-13.151111,Col Alfredo Mendivil Duarte,Ayacucho
SPHY,-73.348056,-13.704167,Andahuaylas,Andahuaylas
SPZO,-71.938889,-13.535834,Tnte Fap Alejandro Velazco Ast,Cuzco
SPZA,-74.961722,-14.854153,Maria Reiche Neuman,Nazca
SPQU,-71.572883,-16.34047,Rodriguez Ballon,Arequipa
SPLO,-71.360556,-17.695,Ilo,Ilo
SCVM,-71.478611,-32.949722,Vina Del Mar,Vina Del Mar
SCSN,-71.615278,-33.654167,Santo Domingo,Santo Domingo
SCIE,-73.063056,-36.772778,Carriel Sur Intl,Concepcion
SCCH,-72.031667,-36.582778,Gen. Bernardo O'Higgins,Chillan
SCGE,-72.425555,-37.401945,Maria Dolores,Los Angeles
SCVD,-73.086389,-39.649444,Pichoy,Valdivia
SCJO,-73.060555,-40.611389,Canal Bajo/Carlos H Siebert,Osorno
SCTE,-73.093889,-41.438889,El Tepual Intl,Puerto Montt
SCON,-73.635,-43.136667,Quellon,Quellon
SCFT,-71.850556,-43.185833,Futaleufu,Futaleufu
SCAP,-71.806945,-43.615278,Alto Palena,Alto Palena
SCCY,-72.101945,-45.592778,Teniente Vidal,Coyhaique
SCBA,-71.686944,-45.916389,Balmaceda,Balmaceda
BGTL,-68.703161,76.531203,Thule AB,Thule
CYCY,-68.516667,70.486111,Clyde River,Clyde River
CYFB,-68.555833,63.756389,Iqaluit,Iqaluit
CYLC,-69.883333,62.85,Kimmirut,Kimmirut
CYHA,-69.617667,61.046,Quaqtaq,Quaqtaq
CYLA,-69.599722,59.296667,Aupaluk,Aupaluk
CYTQ,-69.955833,58.667778,Tasiujaq,Tasiujaq
CYVP,-68.426945,58.096111,Kuujjuaq,Kuujjuaq
